,id,latitude,longitude,room_type,price,host_class,distance,reviews
961,28886775,44.5,11.3417,Entire home/apt,4.31748811353631,single,0.685702206680357,2.8903717578961645
962,28932645,44.49656,11.33754,Entire home/apt,2.302585092994046,business,0.5253303246202214,1.0986122886681096
963,28955447,44.54255,11.35582,Entire home/apt,4.605170185988092,multi,5.501505478049772,0.0
964,28977104,44.49279,11.36768,Entire home/apt,4.605170185988092,single,1.9669457377508097,0.6931471805599453
965,29003564,44.48352813720703,11.314497947692873,Entire home/apt,4.007333185232471,single,2.543382091139147,1.0986122886681096
966,29048670,44.49639,11.35757,Entire home/apt,8.34283980427146,multi,1.1914517589206408,0.0
967,29092437,44.50573,11.37241,Entire home/apt,3.9889840465642745,business,2.683161110440458,0.0
968,29094990,44.47792,11.33625,Entire home/apt,4.787491742782046,multi,1.8551809224622529,0.0
969,29122638,44.51461,11.35188,Entire home/apt,4.787491742782046,single,2.4073146376211967,0.0
970,29123922,44.49757,11.34444,Entire home/apt,4.30406509320417,multi,0.4236060711921199,2.70805020110221
971,29150202,44.50139,11.33029,Entire home/apt,3.7376696182833684,single,1.3094478151382516,1.791759469228055
972,29185533,44.51189,11.34783,Entire home/apt,3.6888794541139363,single,2.035709250586304,0.6931471805599453
973,29212382,44.52132,11.40325,Entire home/apt,4.382026634673881,single,5.678066719487564,0.0
974,29279781,44.49381,11.34405,Entire home/apt,4.787491742782046,single,0.08411375887347482,2.302585092994046
975,29295639,44.49849,11.35102,Entire home/apt,4.553876891600541,single,0.8167402234831979,2.1972245773362196
976,29402913,44.48192,11.36537,Entire home/apt,6.522092798170152,single,2.2223687807880843,0.6931471805599453
977,29445224,44.49915,11.34376,Entire home/apt,4.0943445622221,multi,0.5865290411093455,2.9444389791664403
978,29469932,44.50054,11.35177,Entire home/apt,5.003946305945459,single,1.0153803421681873,2.4849066497880004
979,29587536,44.49734,11.33286,Entire home/apt,5.0106352940962555,single,0.8925179264713686,1.0986122886681096
980,29599420,44.51206,11.35831,Entire home/apt,4.499809670330265,single,2.3568940892612726,1.0986122886681096
981,29617302,44.51516,11.35099,Entire home/apt,4.442651256490317,business,2.4464783171869917,0.0
982,29620847,44.49638,11.33754,Entire home/apt,5.298317366548036,multi,0.5143418090233686,1.9459101490553132
983,29641240,44.48507,11.36705,Entire home/apt,3.912023005428146,multi,2.150054775406906,2.0794415416798357
984,29644697,44.50116,11.3427,Entire home/apt,5.0106352940962555,multi,0.8071196971656359,0.0
985,29646036,44.51345,11.35699,Entire home/apt,4.248495242049359,single,2.440818126847128,0.0
986,29704483,44.49962,11.339,Entire home/apt,6.214608098422191,multi,0.7108068158801483,0.6931471805599453
987,29724736,44.48429,11.34837,Entire home/apt,3.912023005428146,multi,1.1501748638045115,0.0
988,29730070,44.4958,11.33403,Entire home/apt,4.23410650459726,multi,0.7440465294401027,1.6094379124341003
989,29734039,44.47701,11.36914,Entire home/apt,4.31748811353631,single,2.801255612133529,0.0
990,29735816,44.49986,11.33869,Entire home/apt,4.553876891600541,multi,0.745760092661942,2.70805020110221
991,29735876,44.50057601928711,11.34209442138672,Private room,5.075173815233827,multi,0.7453601507869947,2.3978952727983707
992,29737303,44.50057601928711,11.34209442138672,Private room,5.0106352940962555,multi,0.7453601507869947,2.5649493574615367
993,29751210,44.50417,11.30765,Entire home/apt,4.382026634673881,single,3.0342750279992994,1.3862943611198906
994,29790051,44.50796,11.34371,Entire home/apt,5.703782474656201,multi,1.5634375756049765,1.9459101490553132
995,29791236,44.50841,11.34483,Entire home/apt,5.703782474656201,multi,1.6189792075180727,2.3978952727983707
996,29797617,44.49841,11.32958,Entire home/apt,4.23410650459726,single,1.1791859413195511,0.0
997,29816715,44.50936,11.3435,Private room,3.8918202981106265,single,1.718452810775604,1.0986122886681096
998,29890950,44.49475,11.34644,Entire home/apt,5.043425116919247,business,0.28946076972870716,0.0
999,29897035,44.50577,11.36298,Entire home/apt,5.19295685089021,single,2.065188835390631,0.0
1000,29918464,44.49475,11.34644,Entire home/apt,5.075173815233827,business,0.28946076972870716,0.0
1001,29919093,44.49475,11.34644,Entire home/apt,5.3706380281276624,business,0.28946076972870716,1.0986122886681096
1002,29999577,44.50212,11.34494,Entire home/apt,4.605170185988092,multi,0.9263873180338152,1.6094379124341003
1003,30001922,44.48914,11.29825,Entire home/apt,3.7376696182833684,single,3.598616872170729,0.6931471805599453
1004,30011618,44.49796676635742,11.347579956054688,Entire home/apt,4.442651256490317,single,0.5804558950507739,2.9444389791664403
1005,30056994,44.49901,11.34271,Entire home/apt,3.6888794541139363,business,0.5683165130789566,1.0986122886681096
1006,30062169,44.49901,11.34271,Entire home/apt,3.912023005428146,business,0.5683165130789566,1.9459101490553132
1007,30062789,44.49996,11.34152,Entire home/apt,3.8066624897703196,business,0.6836275064683646,1.3862943611198906
1008,30063254,44.49901,11.34271,Entire home/apt,2.995732273553991,business,0.5683165130789566,1.3862943611198906
1009,30064657,44.49901,11.34271,Entire home/apt,3.912023005428146,business,0.5683165130789566,2.0794415416798357
1010,30081300,44.48796,11.35201,Entire home/apt,3.912023005428146,business,0.9743497568563113,0.0
1011,30098613,44.48742,11.35306,Entire home/apt,3.332204510175204,business,1.076512233569258,1.0986122886681096
1012,30098849,44.48742,11.35306,Entire home/apt,3.912023005428146,business,1.076512233569258,1.791759469228055
1013,30099175,44.48742,11.35306,Entire home/apt,2.995732273553991,business,1.076512233569258,0.6931471805599453
1014,30099448,44.48742,11.35306,Entire home/apt,2.995732273553991,business,1.076512233569258,0.0
1015,30100730,44.50097,11.33999,Entire home/apt,4.7535901911063645,multi,0.8213178624197803,2.0794415416798357
1016,30127884,44.50431,11.37217,Entire home/apt,4.060443010546419,business,2.592405355176397,0.6931471805599453
1017,30131130,44.50701,11.35433,Entire home/apt,4.867534450455582,multi,1.7130024349571666,0.6931471805599453
1018,30167405,44.49985,11.34527,Entire home/apt,4.553876891600541,business,0.6854005892006609,2.1972245773362196
1019,30179435,44.49617,11.33698,Entire home/apt,4.787491742782046,business,0.5412033917627527,0.0
1020,30190637,44.49475,11.34644,Entire home/apt,5.10594547390058,business,0.28946076972870716,0.0
1021,30204332,44.49617,11.33698,Entire home/apt,4.867534450455582,business,0.5412033917627527,0.0
1022,30243340,44.49218,11.34015,Entire home/apt,4.700480365792417,business,0.29651608482278713,0.0
1023,30291902,44.49834,11.34645,Entire home/apt,4.553876891600541,single,0.5645665085023241,2.8903717578961645
1024,30307255,44.4813109,11.3503319,Entire home/apt,5.093750200806762,business,1.5156741343738303,0.0
1025,30307464,44.49488,11.33359,Entire home/apt,4.605170185988092,single,0.7563448745700625,2.8903717578961645
1026,30417512,44.49391,11.34561,Entire home/apt,4.564348191467836,business,0.2076024096804786,0.0
1027,30422937,44.49856,11.32893,Entire home/apt,4.248495242049359,multi,1.2330852649918187,1.0986122886681096
